City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Kharian,PK,32.81,73.86,82.4,78,40,5.68,smoke
83,Thompson,CA,55.74,-97.86,77.0,38,20,5.82,few clouds
84,Baherden,TM,38.44,57.43,86.09,16,0,5.28,clear sky
85,Balaipungut,ID,1.05,101.28,77.0,88,20,2.3,few clouds
86,Sujiatun,CN,41.66,123.34,75.2,94,75,2.24,broken clouds
87,Hengshui,CN,37.73,115.7,80.19,90,99,6.69,overcast clouds
88,Hillsborough,US,37.57,-122.38,78.01,56,20,20.8,few clouds
89,Kloulklubed,PW,7.04,134.26,78.8,88,90,3.36,overcast clouds
90,Baghdad,IQ,33.34,44.4,87.8,31,0,4.7,clear sky
91,Bhawanipatna,IN,19.9,83.17,79.48,83,100,4.43,overcast clouds
92,Gobo,JP,33.88,135.15,82.99,83,75,2.24,broken clouds
93,Broome,US,42.25,-75.83,88.0,48,75,10.29,broken clouds
94,Saldanha,ZA,-33.01,17.94,48.2,81,0,1.12,clear sky
95,Te Anau,NZ,-45.42,167.72,47.37,87,40,1.05,scattered clouds
96,Hofn,IS,64.25,-15.21,51.53,90,100,5.97,overcast clouds
97,Chuy,UY,-33.7,-53.46,59.54,90,99,3.62,overcast clouds
98,Coromandel,BR,-18.47,-47.2,64.74,50,0,7.36,clear sky
99,Lebu,CL,-37.62,-73.65,52.29,92,68,6.71,broken clouds
100,Samus,RU,56.75,84.7,57.99,89,0,2.37,clear sky
101,Majalgaon,IN,19.15,76.23,77.85,80,100,19.15,light rain
102,Katsuura,JP,35.13,140.3,78.01,87,8,4.92,clear sky
103,Eirunepe,BR,-6.66,-69.87,84.79,50,43,1.05,scattered clouds
104,Faanui,PF,-16.48,-151.75,78.46,79,100,10.67,overcast clouds
105,San Patricio,MX,19.22,-104.7,90.16,59,0,8.97,clear sky
106,Entre Rios,BR,-11.94,-38.08,66.38,97,5,5.17,light rain
107,Terrace,CA,54.52,-128.6,66.2,82,90,2.24,overcast clouds
108,Tuktoyaktuk,CA,69.45,-133.04,46.4,93,90,16.11,light rain
109,Montelibano,CO,7.98,-75.42,86.83,82,55,7.27,light rain
110,Sola,VU,-13.88,167.55,80.6,83,75,6.93,broken clouds
111,Codrington,AU,-38.27,141.97,46.92,78,36,11.14,scattered clouds
112,Port Elizabeth,ZA,-33.92,25.57,64.4,52,0,5.82,clear sky
113,Salalah,OM,17.02,54.09,82.4,83,40,6.93,scattered clouds
114,Great Falls,US,47.5,-111.3,93.2,26,1,3.47,clear sky
