City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Portovelo,EC,77.0,clear sky,-3.72,-79.62,"Hotel ""Curipamba"""
369,Wanning,CN,81.75,overcast clouds,18.8,110.4,Paradise Hotel
370,Samarai,PG,76.87,light rain,-10.62,150.67,Nuli Sapi
373,Kavieng,PG,82.27,broken clouds,-2.57,150.8,Nusa Island Retreat
374,Hermosa,PH,80.6,broken clouds,14.85,120.48,Villa Pendeguz Travel Lodge / Travelodge / Hotel / Motel
375,Itarema,BR,87.94,clear sky,-2.92,-39.92,Windvillage
378,Kavaratti,IN,82.4,moderate rain,10.57,72.64,Bismillah Hotel And Lodging
380,Koroni,GR,80.01,thunderstorm with rain,36.8,21.95,Apartments Xenios Zeus 1
381,Peniche,PT,75.99,clear sky,39.36,-9.38,Hotel Star inn Peniche
384,Sao Joao Da Barra,BR,77.0,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
391,San Pedro,PH,82.4,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
394,Dakar,SN,87.8,scattered clouds,14.69,-17.44,Novotel Dakar
395,Hambantota,LK,80.6,overcast clouds,6.12,81.12,Bungalow 63
399,Nouadhibou,MR,78.8,clear sky,20.93,-17.03,El Medina
400,Namibe,AO,75.2,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
404,Praia,CV,86.0,few clouds,14.92,-23.51,LT Aparthotel
408,Liloy,PH,79.63,overcast clouds,8.11,122.66,House of Villarin
410,Komsomolskiy,UZ,84.2,clear sky,40.43,71.72,Ikathouse
412,Surt,LY,86.4,clear sky,31.21,16.59,City Hotel
416,Guerrero Negro,MX,79.68,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
420,Sao Filipe,CV,79.27,broken clouds,14.9,-24.5,Tortuga B&B
428,Kubrat,BG,82.85,scattered clouds,43.8,26.5,Рибарска среща
430,Palmer,US,81.0,overcast clouds,42.16,-72.33,Wedgewood Motel
431,Cabras,IT,82.99,clear sky,39.93,8.53,Hotel Villa Canu
432,Luena,AO,75.2,broken clouds,-11.78,19.92,Hotel Kandamba
434,Sterling,US,87.01,broken clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
435,Los Llanos De Aridane,ES,78.8,few clouds,28.66,-17.92,Valle Aridane
436,Ramnagar,IN,81.41,clear sky,29.4,79.12,"The Rangers Lodge, Imran's Jungle Home in Corbett"
439,La Orilla,MX,86.0,clear sky,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
444,Macaubas,BR,84.4,few clouds,-13.02,-42.7,Pousada Refúgio
445,Kalmunai,LK,84.06,overcast clouds,7.42,81.82,VS Villa
451,Gat,IL,88.0,clear sky,31.61,34.76,רגע בנחת
457,Acapulco,MX,86.0,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
459,Mangrol,IN,85.84,broken clouds,21.12,70.12,Hotel The Royal Honours
464,Storforshei,NO,75.2,few clouds,66.4,14.52,Skogly overnatting (Stengt/closed)
466,Nantucket,US,75.2,clear sky,41.28,-70.1,Jared Coffin House
471,Bengkulu,ID,77.67,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
472,Yola,NG,76.66,moderate rain,9.2,12.48,Muna Hotel
474,Fare,PF,78.76,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
475,Biak,ID,75.7,light rain,-0.91,122.88,Kost Ariz
478,Ericeira,PT,77.0,few clouds,38.96,-9.42,HOTEL PEDRO O PESCADOR
480,Axim,GH,77.54,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
482,Kudahuvadhoo,MV,82.78,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
485,Abonnema,NG,80.91,broken clouds,4.71,6.79,Corper's Lodge Obonoma
486,Mitsamiouli,KM,78.8,few clouds,-11.38,43.28,Foyer ADM
489,Fram,PY,78.8,clear sky,-26.98,-55.88,Albergue Ja'umina
492,Puerto Carreno,CO,84.2,broken clouds,6.19,-67.49,Casa Hotel Victoria
498,Havre-Saint-Pierre,CA,75.2,clear sky,50.23,-63.6,Auberge Niapiskau
499,Buta,CD,76.75,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
501,Venice,US,88.0,broken clouds,27.1,-82.45,A Beach Retreat
502,Langue,HN,87.8,scattered clouds,13.62,-87.65,"Hotel ""El Centro"""
503,Tura,IN,79.7,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
504,Anloga,GH,82.4,few clouds,5.79,0.9,Dey Lodge
505,Tecoanapa,MX,87.51,broken clouds,16.52,-98.75,Hotel Manglares
506,Mayo,US,87.8,broken clouds,38.89,-76.51,Resorts Resource Group International
507,Erzin,TR,84.99,few clouds,36.96,36.2,Artemis Otel
517,Meadow Lake,US,79.0,scattered clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
520,Laem Sing,TH,82.99,moderate rain,12.48,102.07,Laemsing Whitehouse Resort
522,Cabo San Lucas,MX,86.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
528,Olivet,FR,75.99,overcast clouds,47.86,1.9,Hôtel-Restaurant Le Rivage
529,Jinchang,CN,76.26,overcast clouds,38.5,102.17,Mingshihui Jinchang International Hotel
532,Colon,PA,88.0,light rain,9.36,-79.9,Sand Diamond Hotel
535,Ugoofaaru,MV,83.05,light rain,5.67,73.0,Ungoofaaru Inn
553,Eyl,SO,83.03,overcast clouds,7.98,49.82,Amiin Hotel
556,Ewa Beach,US,75.2,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
557,Port Blair,IN,82.65,light rain,11.67,92.75,Fortune Resort Bay Island
559,Sol-Iletsk,RU,77.11,overcast clouds,51.16,54.99,Raduzhnaya
